order_id,order_date,region,category,channel,units,unit_price,discount_pct,revenue,cost,customer_age,satisfaction
ORD-1001,2026-01-03,North,Electronics,Online,3,499.99,0.05,1424.97,980.0,29,4.6
ORD-1002,2026-01-05,South,Furniture,Retail,1,899.0,0.1,809.1,620.0,41,4.2
ORD-1003,2026-01-06,East,Office Supplies,Online,12,24.5,0.0,294.0,180.0,35,4.8
ORD-1004,2026-01-08,West,Electronics,Retail,2,699.0,0.08,1286.16,900.0,33,4.1
ORD-1005,2026-01-09,North,Appliances,Online,1,1199.0,0.12,1055.12,780.0,52,4.5
ORD-1006,2026-01-11,South,Office Supplies,Retail,20,14.99,0.0,299.8,160.0,27,4.0
ORD-1007,2026-01-13,East,Furniture,Online,2,749.0,0.07,1393.14,980.0,45,4.4
ORD-1008,2026-01-15,West,Electronics,Online,1,1299.0,0.15,1104.15,860.0,38,4.9
ORD-1009,2026-01-16,North,Office Supplies,Retail,30,9.99,0.02,293.71,150.0,31,3.9
ORD-1010,2026-01-18,South,Appliances,Online,2,649.0,0.05,1233.1,830.0,48,4.3
ORD-1011,2026-01-21,East,Electronics,Retail,4,399.0,0.03,1548.12,1020.0,36,4.7
ORD-1012,2026-01-23,West,Furniture,Online,1,999.0,0.2,799.2,650.0,55,4.1
ORD-1013,2026-01-24,North,Office Supplies,Online,16,19.95,0.01,316.01,190.0,26,4.0
ORD-1014,2026-01-26,South,Electronics,Retail,2,849.0,0.09,1545.18,1110.0,44,4.6
ORD-1015,2026-01-28,East,Appliances,Online,1,1399.0,0.1,1259.1,970.0,39,4.8
ORD-1016,2026-02-01,West,Office Supplies,Retail,25,12.49,0.0,312.25,175.0,32,3.8
ORD-1017,2026-02-03,North,Furniture,Online,3,559.0,0.06,1575.57,1080.0,47,4.3
ORD-1018,2026-02-05,South,Electronics,Online,1,1599.0,0.18,1311.18,980.0,30,4.9
ORD-1019,2026-02-07,East,Office Supplies,Retail,40,7.99,0.0,319.6,190.0,28,4.1
ORD-1020,2026-02-10,West,Appliances,Online,2,799.0,0.04,1534.08,1060.0,50,4.4
