order_id,order_date,region,category,channel,units,unit_price,discount_pct,revenue,cost,customer_age,satisfaction
ORD-2001,2026-03-23,North,Electronics,Retail,2,611.5,0.2,978.4,731.75,56,3.6
ORD-2002,2026-02-24,North,Electronics,Online,2,624.73,0.15,1062.04,735.24,34,4.6
ORD-2003,2026-03-31,West,Furniture,Retail,3,629.82,0.0,1889.46,1391.08,32,4.5
ORD-2004,2026-02-13,East,Furniture,Online,2,515.44,0.09,938.1,663.41,44,4.4
ORD-2005,2026-01-06,West,Electronics,Retail,1,1071.86,0.18,878.93,713.22,45,4.4
ORD-2006,2026-01-09,North,Furniture,Retail,1,1004.96,0.02,984.86,686.61,51,4.5
ORD-2007,2026-02-16,South,Office Supplies,Retail,23,32.47,0.2,597.45,470.98,63,3.6
ORD-2008,2026-03-23,South,Furniture,Online,2,695.65,0.18,1140.87,1010.56,36,4.5
ORD-2009,2026-01-08,South,Electronics,Retail,4,673.84,0.05,2560.59,1896.75,58,4.8
ORD-2010,2026-02-10,South,Appliances,Retail,3,957.85,0.07,2672.4,1919.84,57,4.3
ORD-2011,2026-03-16,West,Appliances,Retail,1,1496.33,0.03,1451.44,1079.41,27,4.6
ORD-2012,2026-01-15,South,Furniture,Retail,3,490.29,0.09,1338.49,1049.35,51,4.3
ORD-2013,2026-03-12,North,Electronics,Retail,3,455.17,0.09,1242.61,826.9,22,4.9
ORD-2014,2026-02-03,South,Electronics,Retail,5,1151.56,0.03,5585.07,3648.19,32,4.3
ORD-2015,2026-03-09,North,Office Supplies,Retail,11,11.25,0.08,113.85,77.21,41,3.9
ORD-2016,2026-01-31,North,Electronics,Retail,1,1668.18,0.12,1468.0,1141.97,30,4.5
ORD-2017,2026-03-12,South,Office Supplies,Retail,23,42.3,0.2,778.32,585.71,41,4.1
ORD-2018,2026-03-27,East,Appliances,Retail,1,746.91,0.02,731.97,520.36,59,4.3
ORD-2019,2026-03-17,South,Electronics,Online,1,619.52,0.0,619.52,431.65,26,4.3
ORD-2020,2026-02-05,West,Furniture,Online,3,1057.08,0.15,2695.55,2253.7,37,4.7
ORD-2021,2026-02-22,South,Electronics,Online,4,795.02,0.09,2893.87,2053.42,25,4.5
ORD-2022,2026-03-24,North,Electronics,Retail,3,1419.83,0.02,4174.3,2629.49,34,4.3
ORD-2023,2026-01-18,West,Furniture,Retail,2,611.37,0.02,1198.29,846.18,57,3.6
ORD-2024,2026-03-25,North,Electronics,Online,2,867.98,0.1,1562.36,1063.77,47,4.9
ORD-2025,2026-01-22,West,Electronics,Retail,3,1596.13,0.1,4309.55,2978.77,57,4.5
ORD-2026,2026-03-04,South,Furniture,Retail,1,1078.66,0.15,916.86,790.66,25,4.6
ORD-2027,2026-01-08,North,Appliances,Online,1,1459.78,0.02,1430.58,1124.9,26,4.4
ORD-2028,2026-03-28,South,Appliances,Online,3,745.22,0.15,1900.31,1461.5,27,4.1
ORD-2029,2026-03-16,East,Office Supplies,Online,30,16.07,0.09,438.71,258.98,63,3.9
ORD-2030,2026-02-10,North,Electronics,Retail,5,1696.84,0.02,8314.52,5044.06,35,4.3
ORD-2031,2026-01-17,East,Electronics,Online,3,697.98,0.1,1884.55,1451.91,41,4.4
ORD-2032,2026-03-25,North,Office Supplies,Online,18,17.05,0.02,300.76,186.63,31,3.9
ORD-2033,2026-03-19,South,Office Supplies,Online,50,39.41,0.12,1734.04,1140.27,25,3.6
ORD-2034,2026-02-24,East,Electronics,Online,3,1378.57,0.18,3391.28,2946.17,32,4.6
ORD-2035,2026-03-12,West,Electronics,Online,1,1622.07,0.2,1297.66,1139.52,56,3.6
ORD-2036,2026-02-17,South,Appliances,Online,1,807.26,0.0,807.26,627.6,35,4.5
ORD-2037,2026-03-27,North,Office Supplies,Retail,49,35.48,0.05,1651.59,1081.87,33,4.8
ORD-2038,2026-01-04,South,Office Supplies,Retail,25,17.14,0.2,342.8,229.05,24,4.8
ORD-2039,2026-01-29,South,Appliances,Retail,2,1319.54,0.05,2507.13,1794.84,64,3.8
ORD-2040,2026-02-12,East,Electronics,Retail,3,1197.07,0.09,3268.0,2418.1,56,4.0
ORD-2041,2026-01-04,North,Office Supplies,Online,47,43.58,0.07,1904.88,1078.28,60,4.2
ORD-2042,2026-02-10,West,Electronics,Retail,5,565.11,0.0,2825.55,1913.3,22,4.3
ORD-2043,2026-03-10,South,Office Supplies,Retail,14,43.06,0.08,554.61,358.26,64,4.8
ORD-2044,2026-02-08,East,Appliances,Retail,2,1196.21,0.12,2105.33,1594.14,48,4.5
ORD-2045,2026-02-18,South,Office Supplies,Retail,45,38.68,0.07,1618.76,966.52,49,4.7
ORD-2046,2026-03-19,East,Appliances,Retail,2,1174.63,0.12,2067.35,1682.4,32,4.5
ORD-2047,2026-02-06,East,Electronics,Online,3,613.5,0.05,1748.47,1111.95,24,3.9
ORD-2048,2026-03-02,North,Appliances,Retail,3,1074.67,0.2,2579.21,2412.45,53,4.1
ORD-2049,2026-01-19,North,Electronics,Retail,2,545.24,0.2,872.38,711.36,25,4.3
ORD-2050,2026-01-16,West,Furniture,Retail,3,794.24,0.12,2096.79,1699.75,50,4.4
ORD-2051,2026-03-06,West,Appliances,Online,3,1360.49,0.1,3673.32,2797.13,37,4.8
ORD-2052,2026-02-05,West,Furniture,Retail,2,499.36,0.07,928.81,661.98,43,4.0
ORD-2053,2026-03-11,North,Furniture,Online,1,697.97,0.03,677.03,508.75,26,4.1
ORD-2054,2026-02-12,West,Appliances,Online,1,1331.89,0.09,1212.02,1036.61,59,4.9
ORD-2055,2026-01-03,West,Appliances,Online,2,797.61,0.09,1451.65,1229.75,48,4.3
ORD-2056,2026-03-11,South,Appliances,Online,2,934.84,0.0,1869.68,1316.25,64,4.5
ORD-2057,2026-02-21,South,Appliances,Online,3,1033.12,0.09,2820.42,2272.55,64,3.5
ORD-2058,2026-03-24,West,Furniture,Retail,1,481.69,0.09,438.34,325.54,51,4.0
ORD-2059,2026-02-18,East,Appliances,Retail,1,969.31,0.2,775.45,703.41,44,3.8
ORD-2060,2026-01-09,North,Electronics,Online,2,1473.92,0.15,2505.66,1782.88,30,4.2
ORD-2061,2026-01-15,South,Appliances,Retail,2,666.79,0.15,1133.54,1049.23,29,4.7
ORD-2062,2026-01-21,East,Electronics,Online,3,1105.12,0.09,3016.98,2110.44,34,3.6
ORD-2063,2026-03-30,South,Electronics,Retail,5,1426.74,0.15,6063.64,4899.02,44,4.3
ORD-2064,2026-03-26,East,Electronics,Retail,1,1488.41,0.1,1339.57,891.14,45,4.5
ORD-2065,2026-02-28,South,Appliances,Online,3,1020.75,0.18,2511.05,2103.43,56,4.7
ORD-2066,2026-03-01,West,Office Supplies,Retail,25,38.57,0.02,944.97,534.54,50,3.9
ORD-2067,2026-03-01,West,Office Supplies,Online,41,39.34,0.03,1564.55,933.18,44,4.7
ORD-2068,2026-02-13,East,Office Supplies,Online,43,43.03,0.02,1813.28,1017.65,48,4.2
ORD-2069,2026-01-31,West,Appliances,Retail,1,592.05,0.05,562.45,418.13,37,4.0
ORD-2070,2026-03-16,East,Appliances,Retail,2,1495.63,0.12,2632.31,2080.82,51,3.9
