order_id,order_date,region,category,channel,units,unit_price,discount_pct,revenue,cost,customer_age,satisfaction
ORD-3001,2026-02-21,,Furniture,Online,1,610.48,0.02,598.27,406.07,46,4.3
ORD-3002,2026-03-01,South,Office Supplies,Online,,32.74,0.02,1379.66,,47,3.6
ORD-3003,2026-01-21,,Furniture,,1,520.37,0.03,504.76,,48,3.6
ORD-3004,2026-02-21,,Office Supplies,Retail,13,11.98,0.2,124.59,92.13,31,4.4
ORD-3005,2026-01-16,East,Furniture,Online,3,,0.15,1621.83,1424.45,43,3.8
ORD-3006,2026-02-09,South,Office Supplies,Online,30,,0.2,367.44,275.68,37,4.1
ORD-3007,2026-02-02,West,Office Supplies,Retail,49,,0.09,582.35,384.4,60,4.8
ORD-3008,2026-03-23,,Appliances,Online,2,1359.51,0.08,2501.5,2018.99,22,3.7
ORD-3009,2026-03-01,East,Furniture,Online,1,973.14,0.02,953.68,692.17,25,4.1
ORD-3010,2026-01-17,South,Appliances,Retail,2,1060.88,0.2,1697.41,1429.54,38,3.8
ORD-3011,2026-03-10,South,Appliances,Online,1,828.75,0.1,,,63,4.6
ORD-3012,2026-02-07,South,,Online,3,1274.03,0.05,3630.99,2919.97,29,
ORD-3013,2026-01-17,South,Furniture,Online,1,,0.18,772.83,643.8,44,
ORD-3014,,North,Furniture,Retail,3,964.63,0.05,,2052.77,60,4.8
ORD-3015,2026-01-02,East,Office Supplies,Retail,,25.71,0.02,428.33,230.19,,4.4
ORD-3016,2026-02-06,,,Online,1,1023.12,0.0,1023.12,,63,3.9
ORD-3017,2026-02-25,South,Electronics,Online,5,853.16,0.1,3839.22,,59,3.8
ORD-3018,2026-01-23,South,Appliances,Online,1,1339.9,0.07,1246.11,,55,4.5
ORD-3019,,West,Furniture,Online,3,468.24,0.0,1404.72,,42,3.8
ORD-3020,2026-02-09,East,Furniture,Retail,1,1062.31,0.0,,722.04,31,4.4
ORD-3021,2026-01-10,North,Appliances,Online,3,934.85,,2243.64,,,4.2
ORD-3022,2026-03-21,North,Office Supplies,Retail,,30.74,0.05,1430.95,863.54,50,4.3
ORD-3023,2026-03-07,South,,,4,1384.2,0.02,5426.06,3664.44,39,4.2
ORD-3024,2026-01-03,North,Office Supplies,Online,23,32.38,0.02,729.85,389.85,49,4.7
ORD-3025,2026-01-10,East,Office Supplies,Retail,20,35.61,0.2,569.76,381.98,60,4.7
ORD-3026,,East,Furniture,Online,2,780.76,0.12,1374.14,,,4.4
ORD-3027,2026-01-11,North,Furniture,,,,0.02,630.31,418.4,,4.6
ORD-3028,2026-02-02,West,Office Supplies,Online,32,11.97,0.2,306.43,214.39,57,4.9
ORD-3029,2026-03-10,East,Electronics,Online,5,1129.89,0.03,,3399.16,,3.6
ORD-3030,2026-02-24,South,Furniture,Online,1,857.67,0.1,,587.28,56,4.3
ORD-3031,2026-02-10,South,Electronics,,3,869.96,0.03,2531.58,1572.54,30,3.9
ORD-3032,2026-01-12,,Electronics,Retail,2,968.37,0.02,1898.01,1258.83,41,3.9
ORD-3033,2026-01-06,North,,Online,1,930.45,0.18,762.97,607.78,51,4.2
ORD-3034,2026-03-19,North,Electronics,Retail,1,1174.28,0.18,962.91,724.99,47,4.8
ORD-3035,2026-03-27,West,Office Supplies,Online,42,,0.02,685.31,396.6,48,4.6
ORD-3036,2026-01-21,South,Office Supplies,Retail,30,21.95,0.09,599.24,356.06,38,
ORD-3037,2026-02-21,South,Appliances,,3,616.72,0.2,1480.13,1304.61,43,4.7
ORD-3038,2026-01-30,East,Electronics,Online,1,1313.66,0.02,1287.39,876.17,46,3.8
ORD-3039,2026-03-21,South,Appliances,Retail,3,1341.27,0.1,3621.43,3181.9,51,3.8
ORD-3040,2026-03-04,North,Appliances,Retail,,1327.35,0.2,2123.76,1794.91,29,
ORD-3041,,North,Furniture,Online,1,591.82,0.15,,455.22,35,4.3
ORD-3042,2026-01-28,West,,,31,,,357.91,251.68,63,4.0
ORD-3043,2026-03-30,North,Furniture,Retail,2,686.5,0.08,1263.16,,42,
ORD-3044,2026-01-11,South,Electronics,Retail,,1505.89,0.05,5722.38,4195.82,25,4.8
ORD-3045,2026-03-16,North,Electronics,Online,,726.28,0.08,668.18,,25,
ORD-3046,2026-03-17,South,Office Supplies,Retail,34,20.67,0.15,597.36,435.18,36,3.8
ORD-3047,,,,,,342.83,0.05,651.38,425.36,49,3.5
ORD-3048,2026-02-19,North,Appliances,,2,694.94,0.1,1250.89,964.82,26,
ORD-3049,2026-03-12,West,,Online,1,,0.02,544.13,411.36,33,3.8
ORD-3050,2026-02-26,West,Office Supplies,Retail,43,,0.12,899.46,624.9,51,4.3
ORD-3051,2026-03-09,South,Appliances,Retail,1,781.04,0.03,757.61,581.59,60,3.6
ORD-3052,2026-02-01,South,Office Supplies,Retail,24,30.22,0.15,616.49,387.15,52,4.5
ORD-3053,2026-01-02,West,Furniture,Retail,,,0.09,1385.72,1121.62,58,4.4
ORD-3054,,West,Electronics,,4,1108.69,0.15,3769.55,2938.26,37,4.0
ORD-3055,,South,Appliances,Retail,2,1413.31,0.2,,1854.88,35,4.4
ORD-3056,2026-01-19,South,Electronics,Online,4,644.77,0.07,2398.54,1667.42,57,4.7
ORD-3057,2026-02-14,North,Electronics,Online,4,1026.77,,3614.23,2414.11,65,4.8
ORD-3058,2026-03-25,South,Office Supplies,Retail,32,,0.15,910.66,654.66,62,4.2
ORD-3059,2026-02-28,East,Appliances,,1,,0.15,486.85,413.44,55,
ORD-3060,2026-03-27,East,,Retail,1,700.7,0.02,686.69,504.36,,3.8
ORD-3061,2026-02-20,South,Furniture,Retail,,537.66,0.03,1564.59,,39,4.0
ORD-3062,2026-01-17,East,Electronics,Online,2,903.46,0.0,1806.92,1137.35,49,
ORD-3063,2026-01-05,,,,2,1186.73,0.07,,1841.24,31,4.6
ORD-3064,2026-02-16,North,Office Supplies,Retail,37,9.71,,305.38,,33,4.0
ORD-3065,,South,Appliances,Retail,1,696.69,,592.19,,50,4.8
ORD-3066,2026-02-13,South,Furniture,Online,3,728.44,0.03,2119.76,1440.91,59,3.6
ORD-3067,2026-01-30,North,Office Supplies,Online,,34.93,0.02,342.31,207.01,60,3.6
ORD-3068,2026-01-26,West,Office Supplies,Retail,39,36.37,0.07,1319.14,797.78,60,4.4
ORD-3069,2026-02-09,East,Furniture,Retail,1,,0.07,591.55,,49,4.5
ORD-3070,2026-03-29,South,Electronics,Online,,741.43,0.12,652.46,456.06,41,3.9
ORD-3071,2026-03-10,South,Office Supplies,Online,28,14.05,0.0,393.4,222.1,,3.7
ORD-3072,,East,Electronics,Retail,5,1527.28,0.08,7025.49,4605.01,49,4.2
ORD-3073,2026-01-20,West,,Online,38,27.43,0.02,1021.49,545.83,41,3.6
ORD-3074,,South,Electronics,Retail,1,1526.89,0.0,1526.89,1091.48,25,4.1
ORD-3075,2026-01-08,,,Retail,3,,0.0,2527.23,1750.25,59,4.5
ORD-3076,2026-02-11,North,Furniture,Retail,1,819.65,0.09,745.88,606.06,25,4.9
ORD-3077,2026-02-17,North,Electronics,Online,4,1288.12,0.05,4894.86,3471.49,34,4.9
ORD-3078,2026-02-19,South,,Online,3,907.34,0.09,2477.04,1775.68,65,3.6
ORD-3079,2026-03-06,East,Furniture,Online,,874.17,0.0,,612.83,22,4.0
ORD-3080,2026-02-01,West,Office Supplies,,25,33.19,0.03,,509.27,40,4.2
ORD-3081,2026-02-01,,Appliances,Online,3,,0.02,2833.57,,56,4.7
ORD-3082,,West,Furniture,Retail,2,697.93,0.07,1298.15,,,3.7
ORD-3083,2026-01-31,North,Electronics,Retail,4,1138.72,,,2908.24,49,4.5
ORD-3084,2026-03-15,East,Electronics,Retail,4,334.22,0.08,1229.93,904.86,49,4.2
ORD-3085,2026-03-29,West,Furniture,Retail,,754.1,0.2,,957.79,24,4.9
